timeStamp,Sales,numNewRecruit,numActiveDistributors,avgOrderValue,EMultiF,prmExp
201901,605796.31,2548,4168,391.2,1630521.6,16000
201902,487740.04,2343,3275,289.9,949422.5,20000
201903,532938.29,3133,3451,295,1018045,27800
201904,359743.51,2763,3114,273.6,851990.4,0
201905,300941.8,2763,2837,265.1,752088.7,54842.1
201906,187554.76,1143,1545,306.8,474006,13684.21
201907,487354.19,3594,3378,384.7,1299516.6,21052.64
201908,443649.78,3285,3539,337.2,1193350.8,31077.71
201909,574998.83,4537,5102,307.2,1567334.4,27261.49
201910,393147.04,2842,2756,290.4,800342.4,152821.66
201911,510803.84,3379,3924,302.5,1187010,0
201912,668442.34,4282,5819,274.7,1598479.3,0
202001,570145.19,4535,5972,216.9,1295326.8,0
202002,910916.2,6619,8063,266.9,2152014.7,0
202003,526528.37,3428,4407,217.3,957641.1,0
202004,389020.73,2291,3208,222.3,713138.4,0
202005,252649.46,1327,1948,234,455832,0
202006,399590.35,1980,2836,327.6,929073.6,17703.03
202007,424519.17,2369,3343,287.7,961781.1,1884.38
202008,620104.19,3523,4895,291.4,1426403,10566.67
202009,865013.46,4967,6466,312.6,2021271.6,14152.5
202010,864535.96,5663,6817,314.2,2141901.4,414
202011,245126.39,2319,3077,223.6,688017.2,11544.41
202012,474728.02,4028,5704,238.5,1360404,13787.29
202101,410702.6,3536,5116,179.9,920368.4,0
202102,687477.06,6098,6864,219.6,1507334.4,1443.05
202103,358750.56,3350,4051,196.2,794806.2,1833.54
